strain,stress
0.013877524,70.90813333
0.013903873,70.95366667
0.013930286,70.9967
0.013956635,71.0512
0.013982794,71.11083333
0.014009206,71.1444
0.014035556,71.18933333
0.014061968,71.25413333
0.014088063,71.3191
0.014114476,71.34523333
0.014140825,71.37623333
0.014167238,71.4446
0.014193587,71.49153333
0.014219937,71.54223333
0.014246095,71.57776667
0.014272508,71.63396667
0.014298857,71.66096667
0.014325206,71.7046
0.014351492,71.77653333
0.014377841,71.8305
0.01440419,71.8967
0.01443054,71.9194
0.014456889,71.96836667
0.014483302,72.02786667
0.014509397,72.07003333
0.01453581,72.08503333
0.014562159,72.1361
0.014588508,72.1898
0.014614857,72.2561
0.014641206,72.3064
0.014667556,72.36756667
0.014693968,72.41663333
0.014720317,72.46706667
0.014746413,72.5081
0.014772762,72.54956667
0.014799111,72.5797
0.01482546,72.63233333
0.01485181,72.6848
0.014878159,72.75796667
0.014904508,72.78726667
0.014930857,72.83503333
0.014957206,72.90516667
0.014983492,72.9456
0.015009841,73.00293333
0.015036254,73.0555
0.015062603,73.0808
0.015088952,73.1203
0.015115048,73.19063333
0.015141397,73.2362
0.015167746,73.2729
0.015194095,73.32733333
0.015220444,73.37846667
0.015246794,73.41946667
0.015273143,73.46836667
0.015299492,73.51563333
0.015325841,73.57716667
0.01535219,73.6361
0.015378476,73.657
0.015404825,73.71673333
0.015431175,73.76446667
0.015457524,73.8212
0.015483873,73.88016667
0.015510222,73.92033333
0.015536381,73.9661
0.015562794,74.00683333
0.01558927,74.0518
0.015615429,74.09333333
0.015641841,74.1349
0.01566819,74.17316667
0.01569454,74.2238
0.015720698,74.30313333
0.015747048,74.3401
0.01577346,74.3802
0.01579981,74.40573333
0.015826222,74.4411
0.015852571,74.50593333
0.01587873,74.5535
0.015905079,74.58646667
0.015931492,74.61366667
0.015957841,74.68883333
0.015984254,74.6908
0.016010413,74.7434
0.016036762,74.78283333
0.016063111,74.83376667
0.016089524,74.88863333
0.016115683,74.9192
0.016142032,74.96793333
0.016168444,75.01976667
0.016194794,75.05243333
0.016221206,75.1077
0.016247556,75.14026667
0.016273714,75.2001
0.016300063,75.2438
0.016326476,75.2717
0.016352825,75.31933333
0.016379175,75.35476667
0.016405333,75.37743333
0.016431746,75.44796667
0.016458159,75.46763333
0.016484508,75.52396667
0.016510857,75.53123333
0.016537016,75.591
0.016563429,75.61033333
0.016589778,75.67286667
0.01661619,75.70213333
